frame,camera,court_x_m,court_y_m,in_court
202,side-2,2.879,18.318,1
218,side-1,8.872,9.934,1
233,side-2,2.249,15.330,1
279,side-2,3.397,13.790,1
515,side-2,6.270,18.789,1
793,side-2,4.495,12.926,1
856,side-2,4.149,16.153,1
1297,side-2,1.762,14.974,1
1307,side-2,3.324,14.609,1
1610,side-2,6.874,12.178,1
1706,side-2,3.627,19.182,1
1813,side-1,6.211,9.668,1
1928,side-1,7.205,9.167,1
1937,side-2,2.857,10.436,1
2119,side-2,6.547,19.615,1
2165,side-2,3.114,14.164,1
2193,side-2,3.105,12.476,1
2241,side-2,5.580,10.867,1
2255,side-2,5.826,10.061,1
2306,side-2,6.405,19.808,1
2464,side-2,7.865,10.050,1
2518,side-2,5.716,11.216,1
2544,side-2,6.672,15.112,1
2557,side-2,7.136,11.483,1
2677,side-1,5.733,8.713,1
2768,side-2,4.643,18.462,1
3016,side-1,7.743,9.655,1
3041,side-2,6.449,18.534,1
3083,side-2,8.785,19.871,1
